ID,request_ID,materialNo,description,quantity,unitPrice,totalPrice,taxAmount,grossAmount

a1111111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111111,MAT1001,Laptop Dell Latitude 5440,2,15000,30000,5400,35400
a1111111-1111-1111-1111-111111111112,11111111-1111-1111-1111-111111111111,MAT1002,Wireless Keyboard Logitech,2,0,0,0,0

b2222222-2222-2222-2222-222222222221,22222222-2222-2222-2222-222222222222,MAT2001,High Performance Laptop Workstation,2,25000,50000,9000,59000
b2222222-2222-2222-2222-222222222222,22222222-2222-2222-2222-222222222222,MAT2002,Enterprise Monitor 27 Inch Display,2,10000,20000,3600,23600
b2222222-2222-2222-2222-222222222223,22222222-2222-2222-2222-222222222222,MAT2003,Office Docking Station USB-C,1,12000,12000,2160,14160
b2222222-2222-2222-2222-222222222224,22222222-2222-2222-2222-222222222222,MAT2004,Wireless Presentation Device Kit,1,18000,18000,3240,21240

c3333333-3333-3333-3333-333333333333,33333333-3333-3333-3333-333333333333,MAT3001,Office Printer Multifunction Device,1,20000,20000,3600,23600

d4444444-4444-4444-4444-444444444441,44444444-4444-4444-4444-444444444444,MAT4001,Industrial Barcode Scanner Device,2,10000,20000,3600,23600
d4444444-4444-4444-4444-444444444442,44444444-4444-4444-4444-444444444444,MAT4002,Warehouse Label Printer Machine,1,15000,15000,2700,17700
d4444444-4444-4444-4444-444444444443,44444444-4444-4444-4444-444444444444,MAT4003,RFID Tracking Equipment System,2,12500,25000,4500,29500

e5555555-5555-5555-5555-555555555551,55555555-5555-5555-5555-555555555555,MAT5001,Safety Helmet Industrial Grade,10,1000,10000,1800,11800
e5555555-5555-5555-5555-555555555552,55555555-5555-5555-5555-555555555555,MAT5002,Protective Gloves Heavy Duty,20,500,10000,1800,11800
e5555555-5555-5555-5555-555555555553,55555555-5555-5555-5555-555555555555,MAT5003,Industrial Safety Shoes Premium,10,2000,20000,3600,23600
e5555555-5555-5555-5555-555555555554,55555555-5555-5555-5555-555555555555,MAT5004,Factory First Aid Medical Kit,5,3000,15000,2700,17700
e5555555-5555-5555-5555-555555555555,55555555-5555-5555-5555-555555555555,MAT5005,Emergency Fire Safety Equipment,2,12500,25000,4500,29500


